,1,,,,2,,,,3,,,,4,,,,4,,,,5,,,,6,,,,7,,,,8,,,
,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275
0,0,46.38726049,37.96515811,39.64504204,0,46.38726049,37.96515811,39.64504204,0,46.38726052,37.96515802,39.64504205,0,46.38726052,37.9651586,39.64504201,0,46.38701278,37.9647827,39.64458432,0,46.38707489,37.96484776,39.6447221,0,46.38707489,37.96484792,39.6447221,0,46.38707488,37.9648478,39.64472208,0,46.3870749,37.96484822,39.64472204
900,0,46.42394003,38.00063814,39.65853819,0,46.42394003,38.00063814,39.65853819,0,46.42394007,38.00063805,39.6585382,0,46.42394007,38.00063863,39.65853816,0,46.42366344,38.00023186,39.6580366,0,46.42373037,38.00030205,39.65817978,0,46.42373036,38.00030201,39.65817976,0,46.42373035,38.00030208,39.65817976,0,46.42373037,38.00030251,39.65817972
1800,0,46.46109578,38.03661603,39.67457323,0,46.46109578,38.03661603,39.67457323,0,46.46109582,38.03661594,39.67457324,0,46.46109582,38.03661653,39.6745732,0,46.46078947,38.036178,39.67402693,0,46.46086152,38.03625363,39.67417618,0,46.46086156,38.03625363,39.6741763,0,46.46086156,38.03625371,39.6741763,0,46.46086157,38.03625413,39.67417626
2700,0,46.49860881,38.07297295,39.69273678,0,46.49860881,38.07297295,39.69273678,0,46.49860884,38.07297286,39.69273679,0,46.49860884,38.07297345,39.69273675,0,46.49827218,38.07250258,39.69214568,0,46.49834978,38.07258406,39.69230189,0,46.49834976,38.07258402,39.69230185,0,46.49834975,38.07258409,39.69230185,0,46.49834977,38.07258452,39.69230181
3600,0,47.39183184,39.21712041,40.19248576,0,47.39183184,39.21712041,40.19248576,0,47.39183188,39.21712041,40.19248579,0,47.3918319,39.21712114,40.19248573,0,47.39123973,39.21637619,40.19155821,0,47.39137862,39.21652,40.19181395,0,47.3913785,39.21651984,40.19181382,0,47.39137856,39.21651983,40.19181385,0,47.39137861,39.21652068,40.19181384
4500,0,47.46033095,39.28508003,40.23999512,0,47.46033095,39.28508003,40.23999512,0,47.46033099,39.28508003,40.23999515,0,47.46033101,39.28508076,40.23999509,0,47.45970048,39.28429505,40.23900282,0,47.45984611,39.28444596,40.23926975,0,47.45984599,39.2844458,40.23926961,0,47.45984606,39.28444579,40.23926965,0,47.45984611,39.28444663,40.23926963
5400,0,47.52910406,39.35330588,40.28879006,0,47.52910406,39.35330588,40.28879006,0,47.5291041,39.35330588,40.28879009,0,47.52910412,39.35330661,40.28879003,0,47.52843487,39.35247982,40.28773264,0,47.52858719,39.35263775,40.28801054,0,47.52858706,39.35263758,40.2880104,0,47.52858713,39.35263757,40.28801044,0,47.52858718,39.35263841,40.28801042
6300,0,47.59806483,39.42171333,40.33871542,0,47.59806483,39.42171333,40.33871542,0,47.59806487,39.42171333,40.33871545,1,41.40277297,9.371724753,32.46287461,0,47.5973563,39.42084558,40.3375921,0,47.59751517,39.4210104,40.33788062,0,47.59751505,39.42101023,40.33788047,0,47.59751511,39.42101021,40.33788051,0,47.59751517,39.42101106,40.33788049
7200,0,48.34471779,40.19412271,41.10971736,0,48.34471779,40.19412271,41.10971736,0,48.34471782,40.19412279,41.10971739,1,41.93371658,9.615027145,33.20571379,0,48.34408266,40.19337383,41.10877179,0,48.34424805,40.19354413,41.10905463,0,48.34424789,40.19354391,41.10905444,0,48.34424796,40.19354397,41.10905449,0,48.34424802,40.19354485,41.10905448
8100,0,48.44611847,40.29570097,41.20509473,0,48.44611847,40.29570097,41.20509473,0,48.4461185,40.29570105,41.20509476,1,41.84380662,9.589523633,33.08645899,0,48.44544349,40.29491062,41.20408329,0,48.44561617,40.29508845,41.20437753,0,48.44561601,40.29508824,41.20437734,0,48.44561608,40.29508829,41.20437739,0,48.44561614,40.29508918,41.20437738
9000,0,48.54733185,40.39708018,41.30067734,0,48.54733185,40.39708018,41.30067734,0,48.54733188,40.39708027,41.30067737,1,41.75332529,9.563807008,32.96692074,0,48.54661838,40.3962498,41.29960301,0,48.54679811,40.39643492,41.29990812,0,48.54679795,40.3964347,41.29990793,0,48.54679801,40.39643476,41.29990798,0,48.54679808,40.39643564,41.29990797
9900,0,48.64832933,40.49823224,41.39640608,0,48.64832933,40.49823224,41.39640608,0,48.64832936,40.49823233,41.39640612,1,41.6622205,9.537861069,32.84706551,0,48.64757856,40.49736307,41.39527148,0,48.64776513,40.49755525,41.39558701,0,48.64776496,40.49755503,41.39558682,0,48.64776503,40.49755509,41.39558686,0,48.6477651,40.49755597,41.39558686
