,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
25200,48.70387813,40.64730279,41.72654671,48.70401956,40.64743638,41.72667463,48.70423999,40.64765172,41.72683896,48.70418904,40.64760162,41.72679125,48.70325442,40.64650535,41.725916,48.70367015,40.64694463,41.72674754,48.70334813,40.64662498,41.72634482,48.70443204,40.64785451,41.72718804,48.70373316,40.64711022,41.72567395,48.70375799,40.64714053,41.72579402
26100,48.73286605,40.67644862,41.75702777,48.73301473,40.67658941,41.75716238,48.73324302,40.67681248,41.75733405,48.73319086,40.67676117,41.75728516,48.73222905,40.67563784,41.75638418,48.73265713,40.67608953,41.75722803,48.73232654,40.67576128,41.75681666,48.73344198,40.67702209,41.75768821,48.73271515,40.67624955,41.75614315,48.73274342,40.67628332,41.75626687
27000,48.76154051,40.7052717,41.78716125,48.76169639,40.70541965,41.78730254,48.76193262,40.70565054,41.78748166,48.76187926,40.70559803,41.78743161,48.76089049,40.70444785,41.78650498,48.7613308,40.70491182,41.78736103,48.76099169,40.70457503,41.78694108,48.7621384,40.70586688,41.7878409,48.76138391,40.70506639,41.78626528,48.76141559,40.70510359,41.78639262
27900,48.78991163,40.73378261,41.8169577,48.79007466,40.73393769,41.81710568,48.79031893,40.73417648,41.81729234,48.79026437,40.73412278,41.81724112,48.78924884,40.73294596,41.81628897,48.78970125,40.73342208,41.81715711,48.78935371,40.73307683,41.81672863,48.79053143,40.73439946,41.81765668,48.78974956,40.73357131,41.8160509,48.78978462,40.73361191,41.8161818
28800,48.8891802,40.84354886,41.91939761,48.88934815,40.84370972,41.91955192,48.88961948,40.84397499,41.91976604,48.88956341,40.8439197,41.91971311,48.88854588,40.84275323,41.91874932,48.88900621,40.84323572,41.91959098,48.88865219,40.84288334,41.91915827,48.88982321,40.84418834,41.92009549,48.88900788,40.84332856,41.91850254,48.88904817,40.84337424,41.91863451
29700,48.92450109,40.8791053,41.95735434,48.92467488,40.87927196,41.95751416,48.92495406,40.87954505,41.95773594,48.92489702,40.87948879,41.95768204,48.92385875,40.87830185,41.95669839,48.92432847,40.87879371,41.95754896,48.92396772,40.87843461,41.95710966,48.92516235,40.87976286,41.95806894,48.92432478,40.87888073,41.95645287,48.92436788,40.87892921,41.95658756
30600,48.9594614,40.91428789,41.99487359,48.95964102,40.91446036,41.99503892,48.95992804,40.91474126,41.99526837,48.95987003,40.91468402,41.99521351,48.95881105,40.91347664,41.99420997,48.95929012,40.91397784,41.99506942,48.95892267,40.91361204,41.99462356,48.96014089,40.91496354,41.99560498,48.95928124,40.9140592,41.993966,48.95932712,40.91411047,41.99410339
31500,48.99406981,40.94910611,42.03196606,48.99425525,40.94928436,42.03213692,48.99455012,40.94957307,42.03237405,48.99449115,40.94951487,42.03231823,48.99341151,40.94828708,42.03129481,48.9938999,40.94879757,42.03216313,48.99352577,40.94842509,42.03171071,48.99476756,40.94979984,42.03271435,48.99388593,40.94887344,42.03105263,48.99393458,40.94892748,42.0311927
32400,48.85737819,40.80584556,41.89580773,48.85754577,40.80600461,41.89596074,48.85781359,40.80626596,41.89616905,48.85775804,40.80621135,41.89611662,48.85673457,40.80502637,41.89515283,48.85719223,40.80550788,41.89603701,48.85683972,40.80515802,41.89559999,48.85802335,40.80648526,41.89653071,48.85722056,40.80563523,41.89486582,48.85725825,40.80567849,41.89500192
33300,48.85767794,40.80708019,41.90057597,48.85785094,40.80724464,41.90073407,48.858126,40.80751307,41.90094911,48.85806953,40.80745753,41.90089578,48.8570254,40.80625205,41.89991213,48.8574925,40.80674306,41.90080566,48.85713351,40.80638669,41.90036191,48.85834114,40.80773767,41.90131407,48.85751647,40.80686541,41.89962377,48.85755672,40.80691126,41.89976275
34200,48.85710353,40.80738732,41.90433835,48.85728198,40.80755719,41.90450155,48.85756434,40.80783276,41.90472341,48.85750693,40.80777628,41.90466916,48.85644205,40.8065502,41.90366555,48.85691861,40.80705074,41.90456843,48.85655312,40.80668784,41.90411794,48.85778486,40.80806266,41.90509173,48.85693824,40.80716812,41.90337617,48.85698107,40.80721658,41.90351803
35100,48.85568765,40.80680029,41.9071268,48.85587132,40.80697534,41.90729491,48.85616071,40.80725777,41.90752334,48.8561024,40.80720041,41.90746822,48.8550177,40.80595469,41.90644551,48.85550328,40.80646429,41.90735729,48.85513158,40.80609516,41.90690037,48.85638635,40.80749271,41.90789488,48.85551877,40.80657694,41.90615518,48.85556407,40.80662788,41.9062998
36000,48.86014292,40.81458592,41.94937781,48.86033821,40.81477309,41.94955764,48.86064597,40.81507379,41.94980384,48.86058557,40.81501427,41.9497466,48.85945709,40.8137257,41.94867874,48.85996332,40.81425616,41.94960308,48.85957753,40.81387243,41.94913286,48.86088245,40.81531985,41.95018099,48.85996633,40.81435487,41.94840762,48.86001741,40.81441169,41.94855685
36900,48.85945097,40.81467965,41.9530258,48.85965122,40.81487173,41.95321035,48.85996686,40.81518019,41.95346404,48.8599056,40.81511981,41.95340594,48.85875886,40.81381327,41.95232031,48.85927346,40.81435209,41.95325282,48.8588818,40.81396251,41.95277654,48.86020763,40.81543042,41.9538438,48.8592718,40.81444555,41.95204783,48.85932525,40.81450476,41.95219965
37800,48.85798508,40.81394679,41.95575236,48.85819105,40.81414457,41.95594236,48.85851575,40.81446202,41.95620465,48.85845349,40.81440065,41.95614559,48.85728564,40.81307318,41.9550395,48.85780993,40.81362173,41.9559814,48.85741146,40.81322531,41.95549819,48.85876136,40.814717,41.95658761,48.85780285,40.81370918,41.95476645,48.85785906,40.81377117,41.95492121
38700,48.85527105,40.81189528,41.95711452,48.85548621,40.81210235,41.9573132,48.85582557,40.81243461,41.95758941,48.85576172,40.81237162,41.9575288,48.85455995,40.81100995,41.95639025,48.85509962,40.81157411,41.95734684,48.85469028,40.81116665,41.95685293,48.85607885,40.81269726,41.95797825,48.85508374,40.81165209,41.95611898,48.85514435,40.81171855,41.95627819
39600,48.79709356,40.74669522,41.88012366,48.79734184,40.74693448,41.88034898,48.79770079,40.747288,41.88064152,48.79763318,40.7472212,41.88057773,48.79629402,40.74571359,41.87932998,48.79688835,40.7463339,41.88036679,48.7964402,40.74588828,41.87983725,48.79799373,40.74759028,41.88108629,48.79687889,40.74642226,41.87906117,48.79695286,40.74650227,41.8792358
40500,48.77757748,40.72753295,41.86348726,48.77783336,40.72777983,41.86372014,48.77820039,40.72814125,41.86402069,48.77813169,40.72807336,41.86395579,48.77676296,40.72653602,41.86267811,48.77737003,40.72716919,41.8637286,48.77691292,40.72671454,41.86318921,48.77850112,40.72845132,41.86447133,48.77735731,40.72725389,41.8624119,48.7774347,40.72733737,41.86259071
41400,48.75793234,40.70822015,41.84654344,48.7581957,40.70847452,41.8467838,48.75857105,40.70884411,41.84709258,48.75850126,40.70877513,41.84702656,48.7571036,40.70720874,41.84571955,48.75772317,40.70785452,41.84678344,48.75725724,40.70739097,41.84623438,48.75887926,40.70916165,41.84754897,48.75770697,40.70793535,41.84545624,48.75778774,40.70802225,41.84563912
42300,48.73817928,40.68877934,41.82932183,48.73845004,40.68904111,41.82956958,48.73883391,40.68941906,41.82988676,48.73876302,40.689349,41.82981963,48.73733701,40.68775414,41.82848381,48.73796887,40.68841231,41.82956082,48.73749425,40.68794,41.82900229,48.73914932,40.6897438,41.83034885,48.73794903,40.68848914,41.82822373,48.73803315,40.68857943,41.82841059
43200,48.74391588,40.69902553,41.88809892,48.74418589,40.6992867,41.88834772,48.74457612,40.69967038,41.88867209,48.7445051,40.6996002,41.88860459,48.74308566,40.69801534,41.88726698,48.74371598,40.6986713,41.88833341,48.74324248,40.69820009,41.88777592,48.74488931,40.69999285,41.88912883,48.74369461,40.69874546,41.88703509,48.74377861,40.69883549,41.8872203
44100,48.72918243,40.68473434,41.87656923,48.72945989,40.68500298,41.87682527,48.72985996,40.68539642,41.87715909,48.72978781,40.68532511,41.87709048,48.72834051,40.68371231,41.87572536,48.72898297,40.68438051,41.87680401,48.72850081,40.68390057,41.87623751,48.73018003,40.68572575,41.87762102,48.72895783,40.6844505,41.87549627,48.72904519,40.68454393,41.8756852
45000,48.71412801,40.67009234,41.86456712,48.71441272,40.67036824,41.86483024,48.71482258,40.6707714,41.86517347,48.71474931,40.67069897,41.86510376,48.71327504,40.66905914,41.86371193,48.71392928,40.66973919,41.86480245,48.71343869,40.66925077,41.86422717,48.71514919,40.67110724,41.86564046,48.71390023,40.66980491,41.86348581,48.71399087,40.66990165,41.86367839
45900,48.69880331,40.65515251,41.85214117,48.69909515,40.65543555,41.85241136,48.69951477,40.65584841,41.85276414,48.6994404,40.65577488,41.85269332,48.69793975,40.65410863,41.85127492,48.69860553,40.6548003,41.85237727,48.69810667,40.65430355,41.85179325,48.69984769,40.65619053,41.85323614,48.6985724,40.65486158,41.85105187,48.69866628,40.6549616,41.85124808
46800,48.71665635,40.67977119,41.89016178,48.71694048,40.68004719,41.89042802,48.71736133,40.68046,41.89078422,48.71728775,40.68038725,41.89071373,48.71581996,40.67876215,41.88931139,48.71647372,40.67944081,41.89038181,48.71598367,40.67895235,41.88980492,48.717684,40.68079184,41.89123114,48.71643321,40.67948911,41.8891037,48.71652456,40.67958649,41.88929586
47700,48.71591995,40.67983029,41.8927095,48.71620798,40.68011014,41.89297972,48.71663682,40.68053086,41.8933438,48.71656256,40.68045744,41.89327261,48.71508202,40.67882,41.89185679,48.71574178,40.67950459,41.89293314,48.71524725,40.6790117,41.89235162,48.71696183,40.68086492,41.89379279,48.71569683,40.67954803,41.89165014,48.71579006,40.67964727,41.89184418
48600,48.71435053,40.67900487,41.89433439,48.71464306,40.67928919,41.89460914,48.71508103,40.67971902,41.89498216,48.715006,40.67964484,41.89491019,48.71351071,40.67799297,41.8934791,48.7141774,40.67868446,41.89456222,48.71367769,40.67818641,41.89397543,48.7154087,40.68005562,41.8954335,48.71412739,40.67872241,41.89327377,48.71422278,40.67882382,41.89346996
49500,48.7112122,40.67653228,41.89435096,48.71151324,40.6768252,41.89463394,48.71196855,40.67727265,41.89502357,48.71189204,40.67719697,41.89495017,48.71036849,40.67551671,41.89349136,48.71104818,40.67622136,41.89458684,48.71053872,40.67571341,41.89399053,48.7123012,40.67761418,41.89547934,48.71098894,40.67624952,41.89328889,48.7110884,40.67635507,41.89348899
50400,48.76306908,40.741648,42.01197985,48.76337488,40.74194737,42.01227168,48.76388096,40.74244545,42.01271209,48.76380242,40.74236758,42.01263625,48.76228297,40.74070443,42.011162,48.76296628,40.74141173,42.01222461,48.76245215,40.74089775,42.01162543,48.76420173,40.7427752,42.01313646,48.76287154,40.74139388,42.01099478,48.76297475,40.74150318,42.01119328
51300,48.77138358,40.75086171,42.02505469,48.77169229,40.75116389,42.02534943,48.77220597,40.7516696,42.02579778,48.77212688,40.7515912,42.02572138,48.77059912,40.7499205,42.02423867,48.77128632,40.75063148,42.02530433,48.77076911,40.75011454,42.02470227,48.77252779,40.7520002,42.02622287,48.77118774,40.75060936,42.02407179,48.77129228,40.75071994,42.02427135
52200,48.77902784,40.75935376,42.0372833,48.77933953,40.75965881,42.03758103,48.77986094,40.76017228,42.03803745,48.7797813,40.76009333,42.03796046,48.77824495,40.7584148,42.03646906,48.77893615,40.75912958,42.03753787,48.77841577,40.75860959,42.03693287,48.78018387,40.7605038,42.03846332,48.77883371,40.75910319,42.03630269,48.77893961,40.75921508,42.03650332
53100,48.78599782,40.76711976,42.04866576,48.78631258,40.76742779,42.04896656,48.78684186,40.76794918,42.04943115,48.78676164,40.76786966,42.04935358,48.78521636,40.76618292,42.04785319,48.78591169,40.76690164,42.04892529,48.78538806,40.7663785,42.04831726,48.78716597,40.76828167,42.04985789,48.78580539,40.766871,42.0476875,48.78591269,40.76698424,42.04788926
54000,48.06572364,39.86927427,41.52131988,48.06608252,39.86962469,41.52164972,48.06664163,39.87017933,41.52213763,48.06655468,39.87009306,41.52205566,48.06490799,39.86821751,41.52046551,48.06569505,39.869029,41.52159208,48.06509935,39.86843368,41.52091477,48.06692989,39.87047098,41.52243213,48.06520962,39.8686898,41.51981176,48.06535955,39.86884656,41.52006367
54900,48.0095994,39.8130981,41.47544705,48.00996243,39.81345272,41.47578168,48.01052768,39.81401367,41.47627711,48.01044004,39.8139267,41.47619433,48.00877833,39.81203495,41.47458713,48.00957199,39.8128528,41.47572386,48.00897148,39.81225272,41.47504071,48.01081837,39.81430773,41.47657611,48.00907905,39.81250802,41.47392851,48.00923097,39.81266668,41.47418293
55800,47.95353965,39.75696937,41.42895321,47.95390678,39.75732815,41.4292925,47.95447807,39.75789529,41.42979516,47.95438976,39.75780764,41.4297116,47.95271318,39.75589997,41.42808785,47.95351385,39.7567246,41.42923601,47.95290846,39.75611969,41.4285468,47.95477129,39.75819187,41.43009882,47.95301222,39.75637296,41.42742162,47.95316621,39.75653361,41.42767882
56700,47.89752814,39.7008747,41.38176154,47.89789963,39.70123787,41.38210629,47.89847736,39.70181158,41.3826175,47.89838834,39.70172321,41.38253302,47.89669608,39.69979894,41.38089014,47.89749957,39.70062627,41.38203628,47.89689041,39.70001762,41.38134454,47.89877333,39.70211091,41.38292644,47.89700429,39.70028228,41.38025122,47.89715928,39.70044388,41.38050778
57600,47.95579421,39.76429709,41.42248014,47.95616036,39.76465568,41.42282371,47.956749,39.7652406,41.42334799,47.95665949,39.76515171,41.42326268,47.95499344,39.76325924,41.42163189,47.95578421,39.764073,41.42275788,47.95518564,39.76347454,41.4220767,47.95704408,39.76553925,41.42366503,47.95533276,39.76377173,41.42109697,47.95548256,39.76392787,41.42134464
58500,47.90850605,39.71700009,41.38403695,47.90887613,39.71736265,41.38438518,47.90947087,39.7179538,41.38491735,47.90938069,39.71786423,41.38483121,47.90770077,39.71595731,41.38318449,47.90849502,39.71677439,41.38431108,47.90789279,39.71617231,41.38362712,47.90976819,39.71825469,41.3852386,47.90804571,39.71647637,41.38266605,47.90819673,39.71663366,41.38291388
59400,47.86124872,39.6697205,41.34472889,47.8616228,39.67008707,41.3450819,47.86222368,39.67068449,41.34562216,47.86213283,39.67059424,41.34553517,47.8604389,39.66867276,41.34387211,47.86123591,39.66949249,41.3449965,47.86063021,39.66888699,41.34431052,47.86252343,39.67098781,41.34594792,47.86079293,39.66920176,41.34338193,47.86094477,39.66935982,41.34362855
60300,47.8140641,39.6225015,41.30468396,47.81444212,39.62287203,41.3050416,47.81504908,39.62347565,41.3055896,47.81495756,39.62338472,41.30550179,47.8132497,39.62144881,41.30382284,47.81405003,39.62227173,41.30494662,47.81344075,39.6216627,41.3042583,47.81535138,39.62378152,41.30592008,47.81361156,39.62198645,41.30335676,47.81376436,39.62214542,41.30360261
61200,47.80588169,39.62598855,41.29897362,47.80625598,39.62635613,41.29933041,47.80687323,39.62696995,41.29989,47.80678205,39.6268793,41.2998021,47.80509176,39.62497478,41.29813246,47.80588427,39.62578875,41.29923437,47.80528009,39.62518437,41.29855182,47.80716821,39.62726824,41.30021019,47.80544973,39.6254974,41.29770716,47.80560121,39.6256548,41.29794869
62100,47.76249951,39.582669,41.26308268,47.76287733,39.58304013,41.2634435,47.76350049,39.58365999,41.2640106,47.76340871,39.58356873,41.26392197,47.76170638,39.58165186,41.26223899,47.76250181,39.58246861,41.26334015,47.76189449,39.58186115,41.26265577,47.76379755,39.58396037,41.26433493,47.76207073,39.58218151,41.26183472,47.7622231,39.58233974,41.26207547
63000,47.71921513,39.5394319,41.22652198,47.71959648,39.53980658,41.22688677,47.7202255,39.54043243,41.22746116,47.72013312,39.54034056,41.22737183,47.71841875,39.53841136,41.22567569,47.71921737,39.5392312,41.22677694,47.71860686,39.53862059,41.22609057,47.72052477,39.54073505,41.22778986,47.71878913,39.5389477,41.22529083,47.71894245,39.53910682,41.22553102
63900,47.67604744,39.49629729,41.18937585,47.67643238,39.49667556,41.18974469,47.67706733,39.49730748,41.19032648,47.67697435,39.49721499,41.19023643,47.67524773,39.49527328,41.18852683,47.6760498,39.49609644,41.18962884,47.67543606,39.49548266,41.1889404,47.67736925,39.49761279,41.19066038,47.67562617,39.49581844,41.18816547,47.67578042,39.49597844,41.18840513
64800,47.71877791,39.56251661,41.24798026,47.71915202,39.56288559,41.2483433,47.71979941,39.56352913,41.24893952,47.71970767,39.56343779,41.24885001,47.71802692,39.56157194,41.24717178,47.71881265,39.56237676,41.24823407,47.71821245,39.56177563,41.24756044,47.72008958,39.56382275,41.24925866,47.71839758,39.56208508,41.24688727,47.71854782,39.56224057,41.24711759
65700,47.68445491,39.52849843,41.2226316,47.68483147,39.52886985,41.2229969,47.68548412,39.52951878,41.22359852,47.68539196,39.529427,41.2235086,47.68370389,39.5275539,41.22182388,47.68449164,39.52836061,41.22288481,47.6838889,39.52775697,41.22220959,47.68577331,39.52981127,41.22391519,47.6840711,39.5280634,41.22153653,47.68422249,39.52822001,41.22176714
66600,47.65028024,39.4946105,41.19668471,47.65065956,39.49498468,41.19705302,47.65131826,39.49563985,41.19766216,47.6512256,39.49554757,41.19757167,47.64952934,39.49366628,41.19587836,47.65031883,39.49447457,41.19693729,47.6497139,39.49386881,41.19626139,47.65160852,39.49593339,41.19798164,47.64990054,39.49418013,41.19560728,47.65005257,39.49433733,41.19583689
