,1,,,,2,,,,3,,,
,,169,204,275,,169,204,275,,169,204,275
0,0,46.40259958,37.98102657,39.67799415,0,46.38648605,37.96428733,39.64453787,0,46.40115701,37.97888007,39.67669519
900,0,46.44040514,38.01768401,39.69327042,0,46.42311314,37.99971328,39.65797468,0,46.43886871,38.01543901,39.69186316
1800,0,46.47867032,38.05481931,39.71097361,0,46.46021664,38.03563738,39.67395288,0,46.47704016,38.05247608,39.70946114
2700,0,46.51729697,38.0923371,39.73076544,0,46.4976776,38.07194074,39.6920611,0,46.5155723,38.08989496,39.72914769
3600,0,47.41925766,39.24509004,40.2418607,0,47.38996356,39.21512359,40.19100549,0,47.41588223,39.24111278,40.23873409
4500,0,47.48855347,39.31387185,40.2904477,0,47.45841163,39.28303156,40.23846629,0,47.48508745,39.30979936,40.28721964
5400,0,47.55811271,39.38290835,40.34029034,0,47.52713377,39.35120588,40.28721304,0,47.55455651,39.37874132,40.33696229
6300,1,40.39123208,47.62784842,39.45211446,0,47.59604356,39.41956184,40.33709043,1,40.38780566,47.62420252,39.44785354
7200,1,41.16687142,48.37882194,40.22879075,0,48.34289005,40.19219707,41.10820558,1,41.16368484,48.37550892,40.22498891
8100,1,41.26326638,48.48102516,40.33119366,0,48.44425882,40.2937433,41.20355543,1,41.2600094,48.47764797,40.32732626
9000,1,41.35983651,48.58302723,40.43338284,0,48.54544015,40.39509036,41.29911017,0,48.5795864,40.42945051,41.35651018
9900,0,48.68480132,40.53533196,41.45652629,0,48.64640548,40.49621018,41.39481075,0,48.68129732,40.53133528,41.45313156
10800,0,48.76618193,40.61732272,41.49304505,0,48.72671809,40.57708847,41.42960422,0,48.7626566,40.61330702,41.48962463
11700,0,48.86701057,40.71827696,41.58932124,0,48.82673866,40.67721514,41.52490761,0,48.86342354,40.71419856,41.58583457
12600,0,48.96755901,40.81894128,41.68560251,0,48.92648818,40.77706175,41.62023607,0,48.96391067,40.81480065,41.68205031
13500,0,49.06781299,40.91930183,41.78185539,0,49.02595154,40.87661358,41.71555424,0,49.06410371,40.91509941,41.77823832
14400,0,50.30768505,42.20696971,43.16683753,0,50.26139447,42.16018054,43.09628612,0,50.30493039,42.20396502,43.1640969
15300,0,48.54111754,40.51361937,41.64122166,0,48.52170024,40.49301776,41.59698148,0,48.5402863,40.51249577,41.6403032
16200,0,48.58801036,40.56178205,41.69622848,0,48.56791231,40.54050037,41.65135498,0,48.58714939,40.56063028,41.69528515
17100,0,48.63454772,40.60952157,41.75064849,0,48.61377336,40.58756471,41.70514256,0,48.63365764,40.60834216,41.74968071
18000,0,48.46913187,40.42839943,41.53497252,0,48.45116867,40.40904178,41.49146266,0,48.46826025,40.42717801,41.53400009
18900,0,48.48858902,40.44935969,41.56295826,0,48.47018803,40.42955871,41.51903375,0,48.48769626,40.44811858,41.56196881
19800,0,48.50763153,40.46980874,41.59026452,0,48.48879454,40.44956542,41.54592527,0,48.50671787,40.46854819,41.58925817
20700,0,48.52622314,40.48972147,41.61686077,0,48.50694158,40.46903389,41.57209704,1,41.61583777,48.525289,40.48844176
21600,0,48.70768081,40.67654057,41.80977403,0,48.68363374,40.65126932,41.76088454,1,41.80858059,48.70653389,40.67508046
22500,0,48.75047222,40.71998319,41.85786147,0,48.72573194,40.69401491,41.80829343,0,48.74929427,40.71849292,41.85664026
23400,1,41.90532929,48.79279977,40.76292597,0,48.76736773,40.7362621,41.85508274,0,48.79159088,40.76140559,41.90408026
24300,1,41.95218302,48.83466503,40.80537233,0,48.80854274,40.77801439,41.90125812,0,48.83342527,40.80382186,41.95090608
25200,1,41.77648733,48.72868283,40.67338622,0,48.70339729,40.64680632,41.72602842,0,48.72729698,40.67162476,41.77507606
26100,1,41.80778854,48.75847339,40.70333915,0,48.732372,40.67593881,41.75649665,0,48.75703974,40.70153002,41.80633267
27000,0,48.787942,40.73296067,41.83873401,1,41.78661751,48.7610335,40.70474881,0,48.78646093,40.73110425,41.83723371
27900,0,48.81709883,40.76226143,41.86933432,1,41.81640155,48.78939191,40.73324691,0,48.81557072,40.76035809,41.86778976
28800,0,48.91822792,40.87389861,41.97382375,1,41.9188482,48.88866941,40.84302175,0,48.91668775,40.87201415,41.97226679
29700,0,48.95426979,40.91017923,42.01251392,1,41.95679655,48.92398163,40.8785697,0,48.95269304,40.9082587,42.01092233
30600,0,48.98994633,40.94608123,42.05076226,0,48.95893332,40.91374386,41.99430744,0,48.98833307,40.94412468,42.04913599
31500,0,49.02526635,40.98161402,42.08857957,0,48.99353328,40.94855373,42.03139169,0,49.02361668,40.97962154,42.0869186
32400,0,48.88536918,40.83513942,41.9494645,0,48.85687272,40.8053248,41.89526069,0,48.88382978,40.8332148,41.94790149
33300,0,48.88623525,40.83694386,41.95480869,0,48.85716334,40.80655017,41.90001996,0,48.88465951,40.83498268,41.95321164
34200,0,48.88623141,40.83782485,41.95914985,0,48.8565798,40.80684804,41.90377334,0,48.88461889,40.83582668,41.95751827
35100,0,48.8853739,40.83779869,41.96250461,0,48.85515527,40.80625226,41.90655326,0,48.88372481,40.83576381,41.96083863
36000,0,48.89103552,40.84680592,42.00559339,0,48.85959287,40.81401857,41.94878572,0,48.88931587,40.84470495,42.00385715
36900,0,48.89086599,40.84742196,42.00976682,0,48.8588941,40.81410547,41.95242689,0,48.88911363,40.84528837,42.00799951
37800,0,48.88992132,40.84720976,42.01301679,0,48.85742031,40.81336468,41.95514563,0,48.88813657,40.84504391,42.01121868
38700,0,48.88812344,40.84608837,42.01527239,0,48.8546939,40.81130059,41.95649576,0,48.8862886,40.84387194,42.0134268
39600,0,48.83263618,40.78359443,41.94070062,0,48.79645252,40.74603876,41.87945182,1,41.93865415,48.83056384,40.78111247
40500,0,48.81377482,40.76509002,41.92476422,0,48.77692331,40.72686314,41.86280194,1,41.92266575,48.81164992,40.76255513
41400,0,48.79477764,40.74642794,41.90851141,0,48.75726557,40.70753755,41.84584514,1,41.90636202,48.79260148,40.74384147
