,1,,,,2,,,,3,,,
38700,0,48.85450092,40.8110407,41.95504075,0,48.8546939,40.81130059,41.95649576,0,48.88766303,40.84560686,42.01443925
39600,0,48.79623399,40.74574767,41.87791174,0,48.79645252,40.74603876,41.87945182,0,48.83212564,40.78306167,41.93980844
40500,0,48.77669616,40.72656275,41.86124114,0,48.77692331,40.72686314,41.86280194,0,48.81325162,40.76454435,41.92385538
41400,0,48.7570297,40.70722781,41.84426473,0,48.75726557,40.70753755,41.84584514,0,48.79424193,40.74586953,41.90758641
42300,0,48.73725579,40.68776537,41.82701202,0,48.73750038,40.68808442,41.82861096,0,48.77511854,40.72706057,41.89103214
43200,0,48.74300279,40.69802384,41.88583418,0,48.74324402,40.69833675,41.88739127,0,48.78084513,40.73726452,41.94935315
44100,0,48.7282502,40.68371283,41.87427665,0,48.7284997,40.68403456,41.87585065,0,48.76674719,40.72361138,41.93845585
45000,0,48.71317705,40.66905147,41.86224778,0,48.71343488,40.66938206,41.86383804,0,48.75231258,40.70959098,41.92707253
45900,0,48.69783384,40.65409255,41.84979549,0,48.69810011,40.65443208,41.85140173,0,48.73759631,40.6952609,41.91525874
46800,0,48.71570621,40.67873215,41.887864,0,48.71596873,40.67906564,41.88943143,0,48.75510707,40.71952939,41.95307511
47700,0,48.71496093,40.67878216,41.89040115,0,48.7152298,40.67912237,41.89197611,0,48.75476108,40.71997661,41.95602582
48600,0,48.7133811,40.67794612,41.89201416,0,48.71365742,40.67829416,41.89359763,0,48.75357636,40.71953292,41.95804615
49500,0,48.71022333,40.67545357,41.89201033,0,48.71051353,40.67581608,41.89360847,0,48.75126416,40.71789874,41.95886642
50400,0,48.76208722,40.74057919,42.00972173,0,48.76240236,40.74096234,42.01126063,0,48.80423198,40.78416003,42.07721741
51300,0,48.77039724,40.74978871,42.0227937,0,48.7707169,40.75017645,42.0243357,0,48.81286938,40.79368806,42.09060398
52200,0,48.77803687,40.75827641,42.0350194,0,48.77836111,40.7586688,42.03656448,0,48.82084467,40.80250272,42.10315189
53100,0,48.78500204,40.76603792,42.04639889,0,48.78533092,40.766435,42.04794701,0,48.82815441,40.81060036,42.11486193
54000,1,48.77039724,40.74978871,42.0227937,0,48.0649751,39.86851016,41.5205576,0,48.11460746,39.91962428,41.59084403
54900,1,48.77803687,40.75827641,42.0350194,0,48.0088459,39.81232914,41.4746793,0,48.05900598,39.863973,41.54547203
55800,1,48.78500204,40.76603792,42.04639889,0,47.95278122,39.75619556,41.42818014,0,48.00346181,39.80836223,41.49946006
56700,0,47.89594188,39.69918379,41.37863498,0,47.89676451,39.70009576,41.3809823,0,47.94800585,39.75282436,41.45288104
57600,0,47.95430153,39.76270617,41.41953724,0,47.95504923,39.76353774,41.42171259,0,48.00614795,39.81612596,41.49403421
58500,0,47.90700835,39.715405,41.38110514,0,47.90775663,39.71623639,41.38326461,1,48.05900598,39.863973,41.54547203
59400,0,47.85975199,39.66812706,41.34182857,0,47.86049481,39.66895238,41.34395162,1,48.00346181,39.80836223,41.49946006
60300,0,47.81256658,39.62090799,41.30180925,0,47.8133057,39.62172896,41.30390185,1,47.94800585,39.75282436,41.45288104
61200,0,47.80441265,39.62442826,41.29618435,0,47.80514364,39.62523657,41.29820603,1,48.00614795,39.81612596,41.49403421
62100,0,47.76102973,39.58110875,41.26031708,0,47.7617581,39.58191375,41.2623118,0,47.81541232,39.63703452,41.33761393
63000,0,47.71774416,39.53787126,41.22377781,0,47.7184703,39.53867334,41.2257478,0,47.77267804,39.59434816,41.30164358
63900,0,47.67457681,39.4947379,41.18665571,0,47.67529913,39.49553533,41.18859825,0,47.730064,39.55176839,41.26509227
64800,0,47.71737229,39.5610315,41.24543435,0,47.71806991,39.56179456,41.24723323,0,47.77268113,39.61782657,41.32373612
65700,0,47.68303995,39.52700402,41.22008139,0,47.68374619,39.52777585,41.22188439,0,47.73885603,39.58430321,41.29881547
66600,0,47.64886658,39.49311825,41.19415771,0,47.64957076,39.49388734,41.1959374,0,47.70522363,39.55095806,41.27341331
67500,0,47.61473157,39.45924518,41.16740336,0,47.61543433,39.46001221,41.16916278,0,47.67163037,39.51762671,41.24718037
68400,0,47.57760298,39.42281742,41.14663962,0,47.57830282,39.42358013,41.14837242,0,47.63502958,39.48171734,41.22680141
69300,0,47.54351908,39.38894008,41.11867465,0,47.54421723,39.38970046,41.12038935,0,47.60147792,39.44837208,41.19934336
70200,0,47.50951084,39.3551187,41.09013218,0,47.51020704,39.35587649,41.09182921,0,47.56800155,39.41508261,41.17130738
71100,0,47.4755825,39.32135887,41.06108007,0,47.47627569,39.32211296,41.06275774,0,47.53460579,39.38185566,41.14276505
72000,0,47.29271713,39.09014492,40.89181427,0,47.29335637,39.09085539,40.89351022,0,47.35346603,39.15249935,40.97493565
72900,0,47.24301845,39.04005158,40.83948516,0,47.2436522,39.04075589,40.84116756,0,47.304292,39.10293161,40.92314486
73800,0,47.19367604,38.99033084,40.78766151,0,47.1943048,38.99102954,40.78933182,0,47.25547276,39.05373507,40.87185813
74700,0,47.14468102,38.94097285,40.73632264,0,47.14530523,38.94166645,40.73798218,0,47.20699938,39.00489985,40.82105469
75600,0,46.98129707,38.74981561,40.54589095,0,46.98189715,38.75049281,40.5475967,0,47.04500287,38.81528496,40.63225406
76500,0,46.92347471,38.69127775,40.48271572,0,46.92407092,38.69195055,40.48441518,0,46.98770558,38.75727601,40.56963504
77400,0,46.86612541,38.6332447,40.42033997,0,46.86671845,38.63391385,40.42203474,0,46.93087983,38.69976843,40.50781286
78300,0,47.36199268,39.08661256,40.75423826,0,47.36164888,39.08633915,40.75494709,0,46.87451223,38.64274719,40.4467503
79200,0,47.14428519,38.79723139,40.46640614,0,47.14388464,38.796922,40.46728346,0,47.12375454,38.77933665,40.47816797
80100,0,47.13170988,38.78200897,40.43837552,0,47.13129408,38.78168402,40.43921045,0,47.11135775,38.76426838,40.44980336
81000,0,47.12030702,38.76806144,40.412527,0,47.1198788,38.7677238,40.41332939,0,47.10017052,38.75051322,40.42372598
81900,0,47.11003379,38.75534547,40.38870503,0,47.10959468,38.75499665,40.3894806,0,47.09014134,38.73801703,40.39975161
82800,0,46.66642174,38.16087784,39.84747476,0,46.66586147,38.16043675,39.84843556,0,46.64582307,38.14285614,39.85749393
83700,0,46.63391151,38.12544191,39.79714538,0,46.63333908,38.12498895,39.79807341,0,46.61361755,38.10778155,39.80729576
84600,0,46.60234386,38.0909345,39.74874115,0,46.60176226,38.09047329,39.74964266,0,46.5823711,38.07361663,39.75906141
85500,0,46.57169648,38.05748011,39.70206893,0,46.57110618,38.05701181,39.70296817,0,46.55205729,38.04046756,39.71259371
