,1,,,,2,,,,3,,,,4,,,,5,,,,5,,,,6,,,,7,,,
,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275,,169,204,275
0,0,46.38655899,37.96441625,39.64465518,0,46.38618334,37.9636846,39.64431006,0,46.38648605,37.96428733,39.64453787,0,46.38648605,37.96428733,39.64453787,0,46.40170903,37.97978925,39.67751455,0,46.40246147,37.980882,39.67769251,0,46.3779107,37.95568708,39.63667767,0,46.37786095,37.95552907,39.6367333
900,0,46.42318602,37.99984328,39.65809553,0,46.42278462,37.99908544,39.65772173,0,46.42311314,37.99971328,39.65797468,0,46.42311314,37.99971328,39.65797468,0,46.43946076,38.01639158,39.69273028,0,46.44025878,38.01753066,39.69296175,0,46.41397139,37.99052321,39.6494819,0,46.41391791,37.99036159,39.64953123
1800,0,46.46028918,38.03576817,39.67407675,0,46.45986178,38.03498381,39.67367446,0,46.46021664,38.03563738,39.67395288,0,46.46021664,38.03563738,39.67395288,0,46.47767227,38.05347196,39.71037522,0,46.4785141,38.0546555,39.71065427,0,46.45049979,38.02584956,39.66482564,0,46.45044332,38.02568507,39.6648707
2700,0,46.49774944,38.07207195,39.69218746,0,46.49729582,38.07126083,39.69175671,0,46.4976776,38.07194074,39.6920611,0,46.4976776,38.07194074,39.6920611,0,46.5162463,38.09093592,39.7301117,0,46.51713033,38.09216228,39.73043447,0,46.48737975,38.06154982,39.68229734,0,46.48732078,38.06138297,39.6823394
3600,0,47.39010215,39.215337,40.1912397,0,47.38943981,39.21457551,40.19065564,0,47.38996356,39.21512359,40.19100549,0,47.38996356,39.21512359,40.19100549,0,47.4171633,39.24281416,40.24042954,0,47.41898419,39.24480699,40.24136075,0,47.37503652,39.20002452,40.17649798,0,47.37494635,39.19989452,40.17656712
4500,0,47.45853837,39.28323348,40.23869286,0,47.4578567,39.28245209,40.23808839,0,47.45841163,39.28303156,40.23846629,0,47.45841163,39.28303156,40.23846629,0,47.48641448,39.3115508,40.28898015,0,47.48826936,39.31357758,40.2899308,0,47.44310265,39.26754346,40.22352267,0,47.44301341,39.26741434,40.22359638
5400,0,47.5272485,39.35139614,40.28743164,0,47.5265475,39.3505949,40.2868069,0,47.52713377,39.35120588,40.28721304,0,47.52713377,39.35120588,40.28721304,0,47.55592904,39.38054212,40.33878644,0,47.55781683,39.38260172,40.33975448,0,47.51144278,39.33532869,40.2718362,0,47.51135455,39.33520056,40.27191459
6300,0,47.59614612,39.41974033,40.33730075,0,47.59542548,39.41891859,40.33665559,0,47.59604356,39.41956184,40.33709043,0,47.59604356,39.41956184,40.33709043,0,47.62561979,39.44970273,40.38969141,0,47.62753986,39.45179452,40.39067565,0,47.57997095,39.40329581,40.32128419,0,47.57988362,39.40316848,40.32136705
7200,1,47.45853837,40.19229383,41.10833186,0,48.34225755,40.19153821,41.10772302,0,48.34289005,40.19219707,41.10820558,0,48.34289005,40.19219707,41.10820558,0,48.37688035,40.22667088,41.16549115,0,48.3785083,40.22846795,41.16633901,0,48.32411358,40.17319334,41.08965514,0,48.32407224,40.17311579,41.08975642
8100,1,47.5272485,40.29382791,41.20367169,0,48.44359864,40.29305699,41.2030464,1,48.44425882,0,41.20355543,0,48.44425882,40.2937433,41.20355543,0,48.47906125,40.32905237,41.26187433,0,48.48068954,40.33084816,41.26269708,0,48.42506231,40.274313,41.18450822,0,48.42502742,40.27424225,41.18462241
9000,1,47.59614612,40.39516266,41.29921614,0,48.54475223,40.39437656,41.29857461,0,48.54544015,40.39509036,41.29911017,0,48.54544015,40.39509036,41.29911017,0,48.58104054,40.43121965,41.3584316,0,48.58267044,40.43301546,41.35923208,0,48.52582917,40.37523923,41.27957763,0,48.52580036,40.37517492,41.27970391
9900,0,48.64639468,40.49627002,41.39490617,0,48.64568977,40.49546882,41.39424857,0,48.64640548,40.49621018,41.39481075,0,48.64640548,40.49621018,41.39481075,0,48.68279146,40.53314647,41.45510758,0,48.68442404,40.53494342,41.45588826,0,48.62638495,40.4759433,41.37480293,0,48.62636191,40.47588508,41.37494061
10800,0,48.72669386,40.57713359,41.42968735,0,48.72598283,40.57632711,41.42902243,0,48.72671809,40.57708847,41.42960422,0,48.72671809,40.57708847,41.42960422,0,48.76417625,40.61514362,41.49163877,0,48.76578514,40.61691399,41.49237367,0,48.70631521,40.55643708,41.40916784,0,48.70629992,40.55638731,41.40931874
11700,0,48.82670179,40.67724775,41.52497994,0,48.82597589,40.6764265,41.52429944,0,48.82673866,40.67721514,41.52490761,0,48.82673866,40.67721514,41.52490761,0,48.86498131,40.71607508,41.58789952,0,48.86659472,40.71784853,41.58861934,0,48.80593183,40.6561538,41.50400936,0,48.80592171,40.65610951,41.50417032
12600,0,48.92643852,40.77708171,41.6202974,0,48.92569782,40.77624576,41.61960143,0,48.92648818,40.77706175,41.62023607,0,48.92648818,40.77706175,41.62023607,1,48.96550597,40.81671641,41.16549115,0,48.96712456,40.81849363,41.68487115,0,48.90528112,40.75559435,41.59888342,0,48.90527597,40.75555534,41.59905395
13500,0,49.02588898,40.87662077,41.71560437,0,49.02513352,40.87577017,41.71489305,0,49.02595154,40.87661358,41.71555424,0,49.02595154,40.87661358,41.71555424,1,49.065736,40.9170538,41.26187433,0,49.06736033,40.91883539,41.78109554,0,49.00434772,40.85474373,41.69375399,0,49.00434737,40.85470981,41.69393367
