,1,,,,2,,,,3,,,,,,,
29700,0,48.92432155,40.87887677,41.95643463,0,48.92398163,40.8785697,41.95679655,0,48.95426979,40.91017923,42.01251392,0,48.9238268,40.87835688,41.95549905
30600,0,48.95927706,40.91405426,41.99394639,0,48.95893332,40.91374386,41.99430744,0,48.98994633,40.94608123,42.05076226,0,48.95877015,40.91352217,41.99299869
31500,0,48.99388081,40.94886754,42.03103167,0,48.99353328,40.94855373,42.03139169,0,49.02526635,40.98161402,42.08857957,0,48.99336181,40.94832333,42.03007193
32400,0,48.85722002,40.8056341,41.89485203,0,48.85687272,40.8053248,41.89526069,0,48.88536918,40.83513942,41.9494645,0,48.85674881,40.8051368,41.8939073
33300,0,48.85751514,40.80686345,41.8996083,0,48.85716334,40.80655017,41.90001996,0,48.88623525,40.83694386,41.95480869,0,48.85703231,40.80635435,41.89865002
34200,0,48.85693613,40.80716534,41.90335905,0,48.8565798,40.80684804,41.90377334,0,48.88623141,40.83782485,41.95914985,0,48.85644164,40.80664441,41.90238732
35100,0,48.85551591,40.80657337,41.9061365,0,48.85515527,40.80625226,41.90655326,0,48.8853739,40.83779869,41.96250461,0,48.85501033,40.80604121,41.90515193
36000,0,48.85996153,40.81434928,41.94838634,0,48.85959287,40.81401857,41.94878572,0,48.89103552,40.84680592,42.00559339,0,48.85942963,40.81379037,41.9473807
36900,0,48.8592662,40.81443912,41.95202501,0,48.8588941,40.81410547,41.95242689,0,48.89086599,40.84742196,42.00976682,0,48.85872364,40.81386947,41.95100736
37800,0,48.8577963,40.81370177,41.95474199,0,48.85742031,40.81336468,41.95514563,0,48.88992132,40.84720976,42.01301679,0,48.85724129,40.81311951,41.95371075
38700,0,48.85507564,40.81164305,41.95609232,0,48.8546939,40.81130059,41.95649576,0,48.88812344,40.84608837,42.01527239,0,48.85450092,40.8110407,41.95504075
39600,0,48.79686789,40.74641031,41.87903342,0,48.79645252,40.74603876,41.87945182,0,48.83263618,40.78359443,41.94070062,0,48.79623399,40.74574767,41.87791174
40500,0,48.77734523,40.7272408,41.86238193,0,48.77692331,40.72686314,41.86280194,0,48.81377482,40.76509002,41.92476422,0,48.77669616,40.72656275,41.86124114
41400,0,48.75769379,40.70792111,41.84542415,0,48.75726557,40.70753755,41.84584514,0,48.79477764,40.74642794,41.90851141,0,48.7570297,40.70722781,41.84426473
42300,0,48.73793475,40.68847376,41.82818964,0,48.73750038,40.68808442,41.82861096,0,48.77566661,40.72763155,41.8919728,0,48.73725579,40.68776537,41.82701202
43200,0,48.74368097,40.6987308,41.88700368,0,48.74324402,40.69833675,41.88739127,0,48.78139171,40.73783341,41.95028418,0,48.74300279,40.69802384,41.88583418
44100,0,48.72894321,40.68443483,41.87546302,0,48.7284997,40.68403456,41.87585065,0,48.7673061,40.72419282,41.93940189,0,48.7282502,40.68371283,41.87427665
45000,0,48.71388456,40.66978814,41.86345058,0,48.71343488,40.66938206,41.86383804,0,48.75288348,40.71018459,41.92803286,0,48.71317705,40.66905147,41.86224778
45900,0,48.69855567,40.6548437,41.85101471,0,48.69810011,40.65443208,41.85140173,0,48.73817896,40.69586644,41.91623295,0,48.69783384,40.65409255,41.84979549
