,1,,,,2,,,,3,,,,4,,,
29700,0,48.92364229,40.87826691,41.95654997,0,48.92337374,40.87791978,41.9562901,0,48.92398163,40.8785697,41.95679655,0,48.95269304,40.9082587,42.01092233
30600,0,48.95858376,40.9134307,41.99405092,0,48.95830596,40.91307448,41.99378248,0,48.95893332,40.91374386,41.99430744,0,48.98833307,40.94412468,42.04913599
31500,0,48.99317337,40.94823017,42.03112508,0,48.99288631,40.94786485,42.03084802,0,48.99353328,40.94855373,42.03139169,0,49.02361668,40.97962154,42.0869186
32400,0,48.85653949,40.8050317,41.89502574,0,48.85628313,40.80469163,41.89477703,0,48.85687272,40.8053248,41.89526069,0,48.88382978,40.8332148,41.94790149
33300,0,48.85682064,40.80624778,41.89977616,0,48.85655638,40.8058999,41.89952027,0,48.85716334,40.80655017,41.90001996,0,48.88465951,40.83498268,41.95321164
34200,0,48.85622758,40.80653629,41.90352062,0,48.85595535,40.80618056,41.90325746,0,48.8565798,40.80684804,41.90377334,0,48.88461889,40.83582668,41.95751827
35100,0,48.85479391,40.80593154,41.90629196,1,46.85451404,40.80556829,41.90602182,0,48.85515527,40.80625226,41.90655326,0,48.88372481,40.83576381,41.96083863
36000,0,48.85920787,40.8136744,41.94850127,1,0,40.81329407,41.94821419,0,48.85959287,40.81401857,41.94878572,0,48.88931587,40.84470495,42.00385715
36900,0,48.85849882,40.81375114,41.95213263,0,48.85819425,40.81336341,41.95183859,0,48.8588941,40.81410547,41.95242689,0,48.88911363,40.84528837,42.00799951
37800,0,48.85701297,40.81299834,41.95483987,0,48.85669947,40.81260176,41.95453753,0,48.85742031,40.81336468,41.95514563,0,48.88813657,40.84504391,42.01121868
38700,0,48.85426745,40.81091491,41.95617186,0,48.8539399,40.81050419,41.95585642,0,48.8546939,40.81130059,41.95649576,0,48.8862886,40.84387194,42.0134268
39600,0,48.79599918,40.74562492,41.8791062,0,48.79561906,40.74515945,41.87874807,0,48.79645252,40.74603876,41.87945182,0,48.83056384,40.78111247,41.93865415
40500,0,48.77646,40.72643958,41.86244639,0,48.77606743,40.7259616,41.86207609,0,48.77692331,40.72686314,41.86280194,0,48.81164992,40.76255513,41.92266575
41400,0,48.75679191,40.70710387,41.84547934,0,48.75638701,40.70661352,41.84509696,0,48.75726557,40.70753755,41.84584514,0,48.79260148,40.74384147,41.90636202
42300,0,48.73701604,40.68764028,41.82823462,0,48.73659895,40.6871377,41.82784026,0,48.73750038,40.68808442,41.82861096,0,48.77344033,40.72499468,41.88977343
43200,0,48.74275237,40.69788603,41.8870061,0,48.74233553,40.69738421,41.8866097,0,48.74324402,40.69833675,41.88739127,0,48.77917372,40.73521444,41.94808053
44100,0,48.72799559,40.68357149,41.87545352,0,48.72756635,40.68305721,41.87504522,0,48.7284997,40.68403456,41.87585065,0,48.76503849,40.72152389,41.93715
45000,0,48.71291834,40.66890665,41.86342895,0,48.712477,40.66838024,41.86300899,0,48.71343488,40.66938206,41.86383804,0,48.75056809,40.70746765,41.92573457
45900,0,48.6975711,40.65394429,41.85098045,0,48.69711785,40.65340593,41.85054884,0,48.69810011,40.65443208,41.85140173,0,48.73581721,40.69310296,41.91388948
46800,0,48.71544442,40.67858191,41.88901051,0,48.71500184,40.67805674,41.88858472,0,48.71596873,40.67906564,41.88943143,0,48.75336226,40.71742811,41.9517172
47700,0,48.71469487,40.67862807,41.89154477,0,48.71424561,40.67809632,41.89111227,0,48.7152298,40.67912237,41.89197611,0,48.75300056,40.71785976,41.95465187
