,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,
18000,48.45094497,40.40885633,41.49132574,48.45084936,40.40867797,41.4912131,48.45116867,40.40904178,41.49146266,48.45116867,40.40904178,41.49146266,48.45085037,40.40843977,41.49106919,48.46826025,40.42717801,41.53400009,48.46874728,40.42788211,41.53498592,48.46913187,40.42839943,41.53497252,48.4689017,40.42815117,41.53442261,48.45139478,40.40924903,41.49108226,48.45110914,40.40893764,41.49035909,48.44147469,40.39884912,41.48049143,48.44148248,40.39883655,41.48065592,48.44160096,40.3989548,41.48077422,48.44141841,40.39879587,41.4809276,48.4515335,40.40945791,41.49189358,48.45176089,40.40968233,41.49211248,48.45189575,40.409879,41.49226115,48.40640744,40.36069133,41.37906892,48.45162116,40.40955875,41.49166197,48.45170571,40.40964707,41.49181186
18900,48.46995654,40.42936478,41.5188893,48.46985529,40.42918122,41.51877231,48.47018803,40.42955871,41.51903375,48.47018803,40.42955871,41.51903375,48.46986303,40.42895027,41.51863475,48.48769626,40.44811858,41.56196881,48.48819637,40.44883584,41.56296697,48.48858902,40.44935969,41.56295826,48.48835196,40.44910431,41.56239941,48.47041454,40.42976475,41.51864614,48.47012111,40.42944541,41.5179151,48.46024857,40.41912243,41.50782945,48.46025669,40.41911053,41.50799531,48.46037628,40.41922981,41.50811451,48.46019078,40.41906839,41.50826817,48.4705611,40.42998212,41.51947121,48.47079395,40.43021188,41.51969491,48.47093396,40.43041368,41.51984813,48.42446628,40.38022329,41.40570633,48.47065184,40.43008587,41.51924175,48.47073726,40.43017506,41.51939226
19800,48.48855504,40.4493628,41.54577308,48.4884483,40.44917418,41.54565185,48.48879454,40.44956542,41.54592527,48.48879454,40.44956542,41.54592527,48.48846288,40.44895067,41.54552074,48.50671787,40.46854819,41.58925817,48.50723099,40.46927852,41.59026853,48.50763153,40.46980874,41.59026452,48.50738762,40.46954625,41.5896969,48.48902137,40.44977024,41.54553067,48.48872019,40.44944299,41.54479184,48.47859824,40.43887477,41.53447769,48.47860656,40.43886339,41.53464478,48.4787275,40.43898395,41.53476509,48.47853889,40.43881986,41.53491877,48.48917561,40.44999591,41.54636909,48.48941386,40.45023098,41.54659758,48.48955902,40.45043788,41.54675537,48.44198545,40.39912866,41.43155685,48.48926951,40.45010264,41.54614189,48.48935578,40.4501927,41.54629303
20700,48.50669392,40.46882243,41.57193697,48.50658186,40.46862885,41.57181163,48.50694158,40.46903389,41.57209704,48.50694158,40.46903389,41.57209704,48.50660374,40.46841298,41.57168742,48.525289,40.48844176,41.61583777,48.52581489,40.48918502,41.61686011,48.52622314,40.48972147,41.61686077,48.52597231,40.48945188,41.61628439,48.50716872,40.46923749,41.57169575,48.50685965,40.46890232,41.57094902,48.49647962,40.45808624,41.56039702,48.49648824,40.45807542,41.56056539,48.49661047,40.45819721,41.56068676,48.49641878,40.45803044,41.56084036,48.50733067,40.46947138,41.57254732,48.50757439,40.46971178,41.57278066,48.50772466,40.4699238,41.572943,48.45899587,40.41745959,41.4566416,48.50742771,40.46958114,41.5723224,48.50751485,40.46967207,41.5724742
21600,48.68336679,40.65103876,41.76070101,48.68319218,40.65079,41.76052477,48.68363374,40.65126932,41.76088454,48.68363374,40.65126932,41.76088454,48.68322874,40.65060591,41.76042402,48.70653389,40.67508046,41.80858059,48.70717991,40.67592094,41.80968202,48.70768081,40.67654057,41.80977403,48.70737749,40.67622112,41.80916263,48.68388334,40.6514964,41.76051829,48.68350853,40.65109923,41.75973364,48.67066849,40.63789126,41.74701016,48.67067011,40.63787548,41.74716835,48.67081607,40.63801995,41.74730942,48.67060025,40.63782918,41.74743182,48.68411652,40.6517959,41.76140933,48.68440004,40.65207471,41.76167721,48.68457804,40.65230798,41.76186248,48.62439519,40.58881914,41.63564929,48.68421401,40.65190308,41.76119866,48.68430859,40.65200089,41.76135301
22500,48.72545596,40.69377505,41.80810111,48.7252733,40.69351851,41.80791781,48.72573194,40.69401491,41.80829343,48.72573194,40.69401491,41.80829343,48.72531695,40.69334178,41.80782398,48.74929427,40.71849292,41.85664026,48.74995881,40.71935186,41.85775867,48.75047222,40.71998319,41.85786147,48.75015976,40.71965448,41.85724034,48.72598318,40.69424286,41.80792509,48.72559757,40.69383485,41.80713044,48.71237593,40.68024676,41.79404148,48.71237734,40.68023094,41.7941999,48.7125256,40.68037767,41.7943431,48.71230572,40.68018308,41.79446295,48.726227,40.6945533,41.80882916,48.72651759,40.69483912,41.80910363,48.72670207,40.6950788,41.80929487,48.66474602,40.62980745,41.68134851,48.72632775,40.69466365,41.8086216,48.72642356,40.69476268,41.80877695
23400,48.76708272,40.73601296,41.85488159,48.76689203,40.73574864,41.85469122,48.76736773,40.7362621,41.85508274,48.76736773,40.7362621,41.85508274,48.76694279,40.73557928,41.85460433,48.79159088,40.76140559,41.90408026,48.79227388,40.76228293,41.90521561,48.79279977,40.76292597,41.90532929,48.79247819,40.76258803,41.90469851,48.76762062,40.73649098,41.85471252,48.76722425,40.73607218,41.85390791,48.75362213,40.72210488,41.84045345,48.75362332,40.72208901,41.84061207,48.75377386,40.72223801,41.84075739,48.75354992,40.72203956,41.84087459,48.76787503,40.73681228,41.85562942,48.76817268,40.73710511,41.8559105,48.76836361,40.7373512,41.85610772,48.70463778,40.67030071,41.72642783,48.76797904,40.73692582,41.85542502,48.76807608,40.73702608,41.85558137
24300,48.80824871,40.77775597,41.90104812,48.80804999,40.77748387,41.90085065,48.80854274,40.77801439,41.90125812,48.80854274,40.77801439,41.90125812,48.80810787,40.7773219,41.90077073,48.83342527,40.80382186,41.95090608,48.83412667,40.80471753,41.95205836,48.83466503,40.80537233,41.95218302,48.83433438,40.8050252,41.95154267,48.80879732,40.77824426,41.90088627,48.80839023,40.77781471,41.90007174,48.79440877,40.76346919,41.88625183,48.79440973,40.76345325,41.8864106,48.79456255,40.7636045,41.88655805,48.79433453,40.76340217,41.88667248,48.80906224,40.77857635,41.90181577,48.80936693,40.77887618,41.90210346,48.80956432,40.77912866,41.90230667,48.74407237,40.71030268,41.77089329,48.80916954,40.7786931,41.90161457,48.80926779,40.77879458,41.90177192
25200,48.70313075,40.64657781,41.72585443,48.70291532,40.64627849,41.72564405,48.70339729,40.64680632,41.72602842,48.70339729,40.64680632,41.72602842,48.7029142,40.64600331,41.72548986,48.72729698,40.67162476,41.77507606,48.72804069,40.67261536,41.77632368,48.72868283,40.67338622,41.77648733,48.72835232,40.67303737,41.77581922,48.70373784,40.6471146,41.72567107,48.70332334,40.64667477,41.72480101,48.68966035,40.63269265,41.71142944,48.68964425,40.63265607,41.7115889,48.68979988,40.63280984,41.71173778,48.68953758,40.63257782,41.71185791,48.70396865,40.64742129,41.72663424,48.70428415,40.64773089,41.7269279,48.7045131,40.64803007,41.72715846,48.64145312,40.58150427,41.59717102,48.70411092,40.64758271,41.72642414,48.70421266,40.64768828,41.7265956
26100,48.73209511,40.67570013,41.75631308,48.73186886,40.67539019,41.75609298,48.732372,40.67593881,41.75649665,48.732372,40.67593881,41.75649665,48.73187347,40.67512038,41.75594351,48.75703974,40.70153002,41.80633267,48.75781056,40.70254796,41.80760836,48.75847339,40.70333915,41.80778854,48.75813045,40.70297766,41.80710556,48.73271888,40.67625293,41.75613848,48.73228898,40.67579754,41.75525147,48.71816248,40.66135202,41.74143105,48.71814581,40.66131503,41.74159145,48.7183045,40.66147183,41.74174319,48.7180355,40.6612334,41.7418601,48.73296228,40.67657264,41.75712023,48.73328767,40.67689207,41.75742321,48.73352687,40.67720154,41.75766358,48.66839235,40.6085895,41.62555723,48.73311033,40.67673976,41.75691406,48.73321406,40.67684733,41.75708752
27000,48.76074617,40.70449986,41.78642423,48.76050908,40.70417926,41.78619432,48.7610335,40.70474881,41.78661751,48.7610335,40.70474881,41.78661751,48.76051967,40.70391509,41.78604984,48.78646093,40.73110425,41.83723371,48.78725861,40.73214927,41.83853719,48.787942,40.73296067,41.83873401,48.78758675,40.73258667,41.83803637,48.7613867,40.70506877,41.78625886,48.76094156,40.70459798,41.78535511,48.7463579,40.68969539,41.77109058,48.74634062,40.68965795,41.7712518,48.74650237,40.68981777,41.77140642,48.74622666,40.6895729,41.77151992,48.76164256,40.70540135,41.78725877,48.7619778,40.70573058,41.78757108,48.76222713,40.70605022,41.78782119,48.69504097,40.63537531,41.65361778,48.76179634,40.70557413,41.78705661,48.76190203,40.70568367,41.78723203
27900,48.78909405,40.73298759,41.81619844,48.7888461,40.73265632,41.81595866,48.78939191,40.73324691,41.81640155,48.78939191,40.73324691,41.81640155,48.7888629,40.73239803,41.81581943,48.81557072,40.76035809,41.86778976,48.81639502,40.76142993,41.86912077,48.81709883,40.76226143,41.86933432,48.81673138,40.76187503,41.86862225,48.78975139,40.7335727,41.81604277,48.78929118,40.73308668,41.8151225,48.7742566,40.71773323,41.80041855,48.77423866,40.71769528,41.80058048,48.77440346,40.71785813,41.80073798,48.77412103,40.7176068,41.80084787,48.79001959,40.73391801,41.81706043,48.79036465,40.734257,41.81738206,48.79062401,40.7345867,41.81764184,48.72140882,40.66187203,41.68136304,48.79017907,40.73409641,41.81686232,48.79028668,40.73420789,41.81703968
28800,48.88834031,40.84272934,41.91861157,48.888081,40.84239129,41.91836022,48.88866941,40.84302175,41.9188482,48.88866941,40.84302175,41.9188482,48.88813897,40.84220068,41.91826687,48.91668775,40.87201415,41.97226679,48.91753806,40.8730876,41.97360128,48.91822792,40.87389861,41.97382375,48.91783965,40.87349164,41.97309938,48.88900561,40.8433256,41.91848571,48.88852311,40.84281801,41.91756234,48.87258834,40.82652876,41.90193172,48.87257721,40.82649942,41.90209496,48.87274635,40.82666672,41.90225703,48.87245992,40.82641022,41.90235235,48.88930282,40.8436976,41.91951327,48.88966105,40.84405019,41.919849,48.88992954,40.84438152,41.92011776,48.81587498,40.7667892,41.77850562,48.88946371,40.84387185,41.91933169,48.88957284,40.84398462,41.91950556
29700,48.92364229,40.87826691,41.95654997,48.92337374,40.87791978,41.9562901,48.92398163,40.8785697,41.95679655,48.92398163,40.8785697,41.95679655,48.92343958,40.87773717,41.95620421,48.95269304,40.9082587,42.01092233,48.95356457,40.90935338,42.0122776,48.95426979,40.91017923,42.01251392,48.95387136,40.90976201,42.01177854,48.92432155,40.87887677,41.95643463,48.9238268,40.87835688,41.95549905,48.90749344,40.86166974,41.93947562,48.90748185,40.86164005,41.93963892,48.90765359,40.86180995,41.9398035,48.90736157,40.86154798,41.93989456,48.92462942,40.87925963,41.95747521,48.92499589,40.87962043,41.9578189,48.92527235,40.87995973,41.9580954,48.84935204,40.80049629,41.81458644,48.92479484,40.87943838,41.95729786,48.92490543,40.87955262,41.95747309
30600,48.95858376,40.9134307,41.99405092,48.95830596,40.91307448,41.99378248,48.95893332,40.91374386,41.99430744,48.95893332,40.91374386,41.99430744,48.95837967,40.91289989,41.99370406,48.98833307,40.94412468,42.04913599,48.98922571,40.94524047,42.05051194,48.98994633,40.94608123,42.05076226,48.98953782,40.94565383,42.050016,48.95927706,40.91405426,41.99394639,48.95877015,40.91352217,41.99299869,48.94204044,40.89643991,41.97658385,48.94202836,40.89640982,41.97674716,48.94220272,40.89658231,41.97691426,48.94190505,40.89631485,41.97700092,48.95959546,40.91444786,41.99499971,48.95997017,40.91481686,41.99535136,48.96025455,40.91516407,41.99563558,48.88247899,40.83384146,41.85023929,48.95976541,40.91463111,41.99482663,48.95987746,40.9147468,41.99500321
